bagisto/bagisto	v2.4.9	package.json	php
bcit-ci/CodeIgniter	3.1.13	composer.json	php
beam-community/bamboo	v2.5.0	mix.lock	elixir
beam-telemetry/telemetry	v1.4.2	rebar.lock	elixir
benoitc/hackney	4.7.2		erlang
bitwarden/server	v2026.7.2	AppHost/AppHost.csproj	dotnet
briannesbitt/Carbon	3.13.2	composer.json	php
cachix/devenv	v2.2.1	Cargo.lock	nix
caddyserver/caddy	v2.11.4	go.sum	go
capistrano/capistrano	v3.20.1	docs/Gemfile.lock	ruby
catchorg/Catch2	v3.15.3		cpp
celery/celery	v5.6.3	pyproject.toml	python
cfug/dio	dio_v5.11.0	example_flutter_app/android/build.gradle.kts	dart
chartjs/Chart.js	v4.5.1	pnpm-lock.yaml	javascript
chatwoot/chatwoot	v4.16.2	pnpm-lock.yaml	ruby
clap-rs/clap	v4.6.6	Cargo.lock	rust
clash-verge-rev/clash-verge-rev	v2.5.2	pnpm-lock.yaml	javascript
cli/cli	v2.97.0	go.sum	go
clj-kondo/clj-kondo	v2026.08.04	deps.edn	clojure
clojure/clojure	clojure-1.12.5	pom.xml	clojure
clojure/tools.deps	v0.31.1642	pom.xml	clojure
cloudposse/terraform-aws-components	1.536.0		terraform
cockroachdb/cockroach	v26.2.5	go.sum	go
coil-kt/coil	3.5.0	build.gradle.kts	kotlin
commercialhaskell/stack	v3.11.1	stack.yaml.lock	other
composer/composer	2.10.2	composer.lock	php
conan-io/conan-center-index	@default		cpp
containerd/containerd	v2.3.3	go.sum	go
crystal-lang/crystal	1.21.0		other
curl/curl	curl-8_21_0	projects/Windows/tmpl/curl.sln	cpp
d3/d3	v7.9.0	yarn.lock	javascript
dart-lang/http	http-v1.5.0	pkgs/cronet_http/android/build.gradle	dart
dart-lang/sdk	3.12.2		dart
dart-lang/shelf	shelf-v1.4.2		dart
daurnimator/lua-http	v0.4		lua
dbt-labs/dbt-core	v1.12.0	requirements.txt	python
debezium/debezium	v3.6.1.Final	pom.xml	java
denoland/deno	v2.9.5	Cargo.lock	rust
detekt/detekt	v1.23.8	build.gradle.kts	kotlin
discourse/discourse	v2026.7.1	pnpm-lock.yaml	ruby
disruptek/frosty	3.0.0		nim
django/django	6.1	pyproject.toml	python
doctrine/orm	3.6.8	composer.json	php
dotnet/aspnetcore	v10.0.10	package-lock.json	dotnet
dotnet/efcore	v11.0.100	src/EFCore.Abstractions/EFCore.Abstractions.csproj	dotnet
dotnet/machinelearning	v5.0.0	Microsoft.ML.sln	dotnet
dotnet/maui	10.0.90	Microsoft.Maui.sln	dotnet
dotnet/orleans	v10.2.2	playground/ActivationSheddingToy/ActivationSheddingToy.csproj	dotnet
dotnet/roslyn	v11.0.100	src/Deployment/RoslynDeployment.csproj	dotnet
dotnet/runtime	v10.0.10	src/libraries/externals.csproj	dotnet
duckdb/duckdb	v1.5.5		cpp
elastic/elasticsearch	v9.5.0	build.gradle	java
elastic/kibana	v9.5.0	yarn.lock	polyglot
electron/electron	v43.3.0	yarn.lock	cpp
elixir-ecto/ecto	v3.14.1	mix.lock	elixir
elixir-lang/elixir	v1.20.3		elixir
elixir-nx/bumblebee	v0.7.1	mix.lock	elixir
elixir-nx/nx	v0.13.0	exla/mix.lock	elixir
elixir-plug/plug	v1.20.3	mix.lock	elixir
elysiajs/elysia	1.4.29	bun.lock	javascript
emqx/emqx	6.2.2	scripts/sbom/requirements.txt	erlang
encode/httpx	0.28.1	requirements.txt	python
envoyproxy/envoy	v1.39.0	go.sum	cpp
erlang/otp	OTP-29.0.5	lib/compiler/scripts/smoke-build/mix.lock	other
erlang/rebar3	3.27.0	rebar.lock	erlang
erlware/relx	v4.10.0	rebar.lock	erlang
eslint/eslint	v10.8.1	package.json	javascript
etcd-io/etcd	v3.7.1	go.sum	go
excalidraw/excalidraw	v0.18.1	yarn.lock	javascript
expressjs/express	v5.2.1	package.json	javascript
facebook/folly	v2026.08.03.00		cpp
facebook/react	v19.2.8	yarn.lock	javascript
fastapi/fastapi	0.141.1	uv.lock	python
fastapi/sqlmodel	0.0.39	uv.lock	python
fastlane/fastlane	2.237.0	Package.resolved	ruby
felangel/bloc	bloc-v9.2.1	extensions/vscode/package-lock.json	dart
filamentphp/filament	v5.7.6	package-lock.json	php
firebase/flutterfire	@default	packages/firebase_data_connect/firebase_data_connect/example/package-lock.json	dart
firecrawl/firecrawl	v2.11.193	apps/python-sdk/requirements.txt	javascript
flame-engine/flame	v1.38.0	doc/_sphinx/requirements.txt	dart
flutter/flutter	3.44.9	pubspec.lock	dart
flutter/gallery	v2.10.2	pubspec.lock	dart
flutter/packages	@default	packages/espresso/android/build.gradle.kts	dart
flutter/samples	@default	web_embedding/ng-flutter/package.json	dart
fluttercommunity/plus_plugins	2.0.2	website/package-lock.json	dart
fmtlib/fmt	12.2.0	support/build.gradle	cpp
folke/lazy.nvim	v11.17.5		lua
freeCodeCamp/freeCodeCamp	@default	pnpm-lock.yaml	javascript
gabime/spdlog	v1.17.0		cpp
getsentry/sentry	26.7.2	uv.lock	polyglot
ggml-org/llama.cpp	@default	requirements.txt	cpp
ghostty-org/ghostty	v1.3.1	macos/Ghostty.xcodeproj/project.xcworkspace/xcshareddata/swiftpm/Package.resolved	zig
gin-gonic/gin	v1.12.0	go.sum	go
github/spec-kit	v0.16.1	pyproject.toml	python
gitlabhq/gitlabhq	v19.2.1	Pipfile.lock	ruby
go-gitea/gitea	v1.27.1	uv.lock	polyglot
godotengine/godot	4.7.1-stable	pyproject.toml	cpp
gohugoio/hugo	v0.164.0	go.sum	go
golang/go	@default	src/go.sum	go
google/dagger	dagger-2.60.1	buildSrc/build.gradle.kts	java
google/googletest	v1.17.0		cpp
google/gson	gson-2.4	codegen/pom.xml	java
